Time,Open,High,Low,Close,Volume
2018-01-01,0.07310600,0.07693000,0.07203200,0.07575200,14544.31900000
2018-01-02,0.07575300,0.08301900,0.07259000,0.07850000,17576.11700000
2018-01-03,0.07840400,0.07877800,0.07320400,0.07485000,14457.18900000
2018-01-04,0.07485000,0.08100000,0.07170000,0.07322100,20011.64800000
2018-01-05,0.07322300,0.07649900,0.06111700,0.06285600,16590.27400000
2018-01-06,0.06285500,0.07300000,0.06243200,0.06719700,12897.66800000
2018-01-07,0.06719500,0.07548600,0.06676200,0.07169900,15630.01000000
2018-01-08,0.07169900,0.07431900,0.07012100,0.07155000,15482.34500000
2018-01-09,0.07155000,0.07692900,0.06811000,0.07617800,17338.92300000
2018-01-10,0.07617800,0.07877900,0.07308000,0.07373800,15320.35500000
2018-01-11,0.07373800,0.07699000,0.07260000,0.07460000,14287.24200000
2018-01-12,0.07499700,0.07690000,0.07350100,0.07579900,5736.21300000
2018-01-13,0.07600000,0.07852700,0.07551100,0.07680200,5407.73200000
2018-01-14,0.07704900,0.07711800,0.07348500,0.07348600,4534.23700000
2018-01-15,0.07348600,0.07492500,0.06800000,0.06820100,4982.01700000
2018-01-16,0.06820100,0.07322800,0.06200000,0.06686600,11486.41500000
2018-01-17,0.06683700,0.07225900,0.06391000,0.07153800,8494.35600000
2018-01-18,0.07153800,0.07680000,0.06872800,0.07401400,8165.96900000
2018-01-19,0.07376200,0.07498800,0.07200000,0.07334300,4122.74200000
2018-01-20,0.07334300,0.07649000,0.07130000,0.07220000,5826.97200000
2018-01-21,0.07220000,0.07323200,0.06953300,0.07076300,3351.98500000
2018-01-22,0.07104300,0.07212700,0.06920000,0.07025100,3243.23700000
2018-01-23,0.07002900,0.07229800,0.06863200,0.06973000,3413.30600000
2018-01-24,0.06982200,0.07005000,0.06730200,0.06900300,9330.31900000
2018-01-25,0.06900300,0.07220000,0.06880600,0.07088700,5550.80000000
2018-01-26,0.07087900,0.07218000,0.06920000,0.07040000,2804.02100000
2018-01-27,0.07019800,0.07050600,0.06713000,0.06794200,3362.41700000
2018-01-28,0.06777000,0.06940000,0.06580000,0.06938700,3462.55600000
2018-01-29,0.06938700,0.06970000,0.06597000,0.06823700,7726.55000000
2018-01-30,0.06845000,0.06979600,0.06701000,0.06701000,4321.07600000
2018-01-31,0.06701000,0.06890000,0.06650100,0.06855100,2790.65500000
2018-02-01,0.06838900,0.06930000,0.06564700,0.06794000,6906.53600000
2018-02-02,0.06759000,0.06808000,0.05626700,0.06651300,7740.17700000
2018-02-03,0.06681100,0.07399900,0.06388100,0.06936800,3768.96300000
2018-02-04,0.06936600,0.07079000,0.06585000,0.06625000,4877.12300000
2018-02-05,0.06625000,0.07800000,0.06373900,0.06470000,5210.02000000
2018-02-06,0.06498700,0.06918000,0.06185600,0.06797200,5791.28500000
2018-02-07,0.06797300,0.07106400,0.06615900,0.06834400,3640.94700000
2018-02-08,0.06834400,0.06887800,0.06800300,0.06847900,88.60000000
2018-02-09,0.06847900,0.07366600,0.06847900,0.07339700,3784.98300000
2018-02-10,0.07339700,0.07472000,0.07275800,0.07390000,3831.26600000
2018-02-11,0.07422200,0.07422200,0.07000000,0.07189000,2736.01100000
2018-02-12,0.07170100,0.07300000,0.06959800,0.06997800,1601.84800000
2018-02-13,0.06989700,0.07045000,0.06878000,0.06919200,1692.04600000
2018-02-14,0.06929600,0.07440000,0.06900000,0.07152100,6452.79700000
2018-02-15,0.07152100,0.07280000,0.06800000,0.06940000,3749.54000000
2018-02-16,0.06940000,0.07099900,0.06731100,0.06832300,4043.60100000
2018-02-17,0.06832200,0.06941500,0.06660100,0.06667600,3131.63700000
2018-02-18,0.06662100,0.06736500,0.06500000,0.06580000,3435.36100000
2018-02-19,0.06580000,0.06661200,0.06499100,0.06502000,3027.09300000
2018-02-20,0.06514900,0.06525500,0.06050000,0.06050000,5791.25700000
2018-02-21,0.06055600,0.06533800,0.06051000,0.06321500,5305.61600000
2018-02-22,0.06321200,0.06370300,0.06000000,0.06351600,3167.09000000
2018-02-23,0.06351600,0.06385700,0.06105600,0.06171900,2542.61700000
2018-02-24,0.06171300,0.06320000,0.05981000,0.06104500,2857.43900000
2018-02-25,0.06104100,0.06211500,0.06073300,0.06146900,1897.55700000
2018-02-26,0.06127100,0.06200000,0.06002700,0.06022200,2526.69700000
2018-02-27,0.06022200,0.06050000,0.05707000,0.05751200,3684.98500000
2018-02-28,0.05753900,0.05761700,0.05500000,0.05648300,2690.78500000
2018-03-01,0.05648200,0.05723900,0.04800000,0.05653000,4607.08800000
2018-03-02,0.05637800,0.05652800,0.05390000,0.05466900,2010.88500000
