Time,Open,High,Low,Close,Volume
2018-01-01,0.00188500,0.00239500,0.00187600,0.00218800,956321.64000000
2018-01-02,0.00219100,0.00251800,0.00186400,0.00215400,984981.99000000
2018-01-03,0.00215400,0.00225900,0.00203400,0.00218100,673534.13000000
2018-01-04,0.00218000,0.00261500,0.00207700,0.00219700,1140150.66000000
2018-01-05,0.00220100,0.00235800,0.00173000,0.00184000,1048672.05000000
2018-01-06,0.00183500,0.00208600,0.00180700,0.00199000,704441.39000000
2018-01-07,0.00199100,0.00230500,0.00198500,0.00219000,871893.11000000
2018-01-08,0.00219100,0.00241600,0.00204100,0.00226500,1094014.46000000
2018-01-09,0.00226600,0.00286100,0.00217600,0.00262500,1147780.79000000
2018-01-10,0.00262100,0.00284500,0.00244000,0.00245700,1373563.02000000
2018-01-11,0.00245700,0.00258400,0.00237500,0.00244800,720608.09000000
2018-01-12,0.00244200,0.00270000,0.00236900,0.00260100,553049.41000000
2018-01-13,0.00260000,0.00331000,0.00250100,0.00298300,1474880.90000000
2018-01-14,0.00298400,0.00349000,0.00298000,0.00311900,1914811.82000000
2018-01-15,0.00311900,0.00318500,0.00286700,0.00295200,659342.97000000
2018-01-16,0.00295200,0.00298300,0.00226000,0.00251900,880728.21000000
2018-01-17,0.00251700,0.00267800,0.00238600,0.00261800,689333.00000000
2018-01-18,0.00262400,0.00277100,0.00254800,0.00266500,662324.49000000
2018-01-19,0.00266700,0.00290000,0.00262600,0.00275200,549282.62000000
2018-01-20,0.00275200,0.00286600,0.00261200,0.00275400,400817.66000000
2018-01-21,0.00275100,0.00285700,0.00258000,0.00263500,333467.33000000
2018-01-22,0.00263500,0.00282000,0.00261100,0.00269000,354765.64000000
2018-01-23,0.00269200,0.00271500,0.00260000,0.00260900,226308.46000000
2018-01-24,0.00260900,0.00266000,0.00259100,0.00260800,238262.10000000
2018-01-25,0.00261800,0.00265000,0.00257000,0.00260500,218797.39000000
2018-01-26,0.00259700,0.00263600,0.00250600,0.00259300,268783.93000000
2018-01-27,0.00259300,0.00262300,0.00254000,0.00259300,240755.79000000
2018-01-28,0.00260000,0.00289700,0.00255400,0.00274300,560149.17000000
2018-01-29,0.00274300,0.00285100,0.00269100,0.00277200,327091.30000000
2018-01-30,0.00277200,0.00280000,0.00265800,0.00267100,290286.95000000
2018-01-31,0.00267000,0.00280900,0.00264500,0.00280000,279532.23000000
2018-02-01,0.00280500,0.00281100,0.00267800,0.00271700,323862.05000000
2018-02-02,0.00271700,0.00273100,0.00233300,0.00261700,449238.00000000
2018-02-03,0.00261000,0.00267600,0.00251800,0.00264700,189667.36000000
2018-02-04,0.00264700,0.00266500,0.00250100,0.00254600,197337.58000000
2018-02-05,0.00254600,0.00255600,0.00235000,0.00237900,260672.21000000
2018-02-06,0.00237900,0.00251200,0.00229600,0.00248800,380792.36000000
2018-02-07,0.00248900,0.00250000,0.00236000,0.00239200,270229.77000000
2018-02-08,0.00239100,0.00241800,0.00237100,0.00241700,5507.71000000
2018-02-09,0.00241800,0.00301800,0.00241800,0.00296800,650947.68000000
2018-02-10,0.00296400,0.00297000,0.00272700,0.00282600,457153.80000000
2018-02-11,0.00282500,0.00312700,0.00268000,0.00295200,813243.84000000
2018-02-12,0.00295200,0.00342200,0.00291100,0.00331700,1076707.56000000
2018-02-13,0.00331800,0.00395100,0.00320000,0.00389200,2741734.97000000
