Time,Open,High,Low,Close,Volume
2019-12-22 23:59:59.999,4.05800000,4.27900000,4.04300000,4.25700000,760476.39300000
2019-12-23 23:59:59.999,4.25800000,4.36900000,4.14100000,4.29800000,941262.84600000
2019-12-24 23:59:59.999,4.30600000,4.41900000,4.25000000,4.38900000,1055552.62500000
2019-12-25 23:59:59.999,4.38700000,4.39500000,4.16100000,4.25500000,840723.15200000
2019-12-26 23:59:59.999,4.26500000,4.63400000,4.25800000,4.56400000,1393754.39400000
2019-12-27 23:59:59.999,4.56300000,4.79000000,4.44600000,4.50600000,1370201.15800000
2019-12-28 23:59:59.999,4.50700000,4.71300000,4.38900000,4.39800000,918395.56500000
2019-12-29 23:59:59.999,4.39300000,4.45900000,4.21500000,4.25300000,1161832.38500000
2019-12-30 23:59:59.999,4.25300000,4.40300000,4.11500000,4.16600000,893064.01000000
2019-12-31 23:59:59.999,4.16000000,4.31100000,4.10200000,4.22700000,588807.07300000
2020-01-01 23:59:59.999,4.21700000,4.49000000,4.20800000,4.38000000,501427.61600000
2020-01-02 23:59:59.999,4.38200000,4.39700000,4.07300000,4.09600000,763249.83800000
2020-01-03 23:59:59.999,4.09100000,4.38000000,3.99000000,4.23700000,1190980.39100000
2020-01-04 23:59:59.999,4.23800000,4.38000000,4.22100000,4.25000000,394394.64800000
2020-01-05 23:59:59.999,4.24800000,4.36500000,4.16200000,4.20000000,794842.35500000
2020-01-06 23:59:59.999,4.20700000,4.24700000,4.00700000,4.11100000,1218709.65700000
2020-01-07 23:59:59.999,4.11100000,4.24300000,4.05400000,4.07500000,875085.46900000
2020-01-08 23:59:59.999,4.08700000,4.17600000,3.94600000,3.99500000,752638.15700000
2020-01-09 23:59:59.999,3.99500000,4.25700000,3.95000000,4.24500000,1177416.11600000
2020-01-10 23:59:59.999,4.24400000,4.43500000,4.18000000,4.27000000,1806180.48000000
2020-01-11 23:59:59.999,4.27300000,4.43200000,4.26000000,4.26400000,839017.10300000
2020-01-12 23:59:59.999,4.26400000,4.34000000,4.21500000,4.25300000,521825.23300000
2020-01-13 23:59:59.999,4.25500000,4.32200000,4.10200000,4.24500000,605591.48500000
2020-01-14 23:59:59.999,4.24800000,4.66500000,4.20500000,4.53000000,1581389.96300000
2020-01-15 23:59:59.999,4.52600000,4.96900000,4.40300000,4.57300000,1843134.27500000
2020-01-16 23:59:59.999,4.56800000,5.42300000,4.15200000,5.09700000,3358644.39700000
2020-01-17 23:59:59.999,5.09800000,5.32000000,4.68000000,5.01500000,2280631.71600000
2020-01-18 23:59:59.999,5.00000000,5.03300000,4.60000000,4.62500000,925077.23900000
2020-01-19 23:59:59.999,4.62500000,4.77400000,4.36000000,4.51600000,781280.07400000
2020-01-20 23:59:59.999,4.51600000,4.67000000,4.40400000,4.50500000,557480.15700000
2020-01-21 23:59:59.999,4.50200000,4.74900000,4.45200000,4.64000000,682574.99300000
2020-01-22 23:59:59.999,4.64000000,4.70200000,4.55100000,4.65700000,414095.57600000
2020-01-23 23:59:59.999,4.66200000,4.69000000,4.36400000,4.46300000,757090.74000000
2020-01-24 23:59:59.999,4.46400000,4.53000000,4.34400000,4.48800000,419911.86000000
2020-01-25 23:59:59.999,4.48500000,4.49200000,4.35200000,4.39000000,324254.07400000
2020-01-26 23:59:59.999,4.38000000,4.50500000,4.35800000,4.47800000,355851.88200000
2020-01-27 23:59:59.999,4.48000000,4.67200000,4.40000000,4.51500000,1081736.08500000
2020-01-28 23:59:59.999,4.51500000,4.61100000,4.46900000,4.57700000,576281.41700000
2020-01-29 23:59:59.999,4.59600000,4.59700000,4.35000000,4.40100000,1070511.02700000
2020-01-30 23:59:59.999,4.40100000,4.48000000,4.30400000,4.41000000,903258.84200000
2020-01-31 23:59:59.999,4.41500000,4.61500000,4.30000000,4.39700000,972975.22600000
2020-02-01 23:59:59.999,4.39800000,4.45100000,4.27100000,4.38800000,618078.76500000
2020-02-02 23:59:59.999,4.37900000,4.48100000,4.23500000,4.40300000,698546.72800000
2020-02-03 23:59:59.999,4.40300000,4.50000000,4.24000000,4.26300000,674636.36500000
2020-02-04 23:59:59.999,4.26400000,4.27500000,4.00000000,4.22000000,2260117.39100000
2020-02-05 23:59:59.999,4.22000000,4.35000000,4.13900000,4.33000000,1654584.90200000
2020-02-06 23:59:59.999,4.33000000,4.60200000,4.25200000,4.58900000,2127883.20400000
2020-02-07 23:59:59.999,4.58600000,4.93800000,4.51900000,4.82500000,2317793.99200000
2020-02-08 23:59:59.999,4.81200000,4.83400000,4.50000000,4.62900000,1484562.60400000
2020-02-09 23:59:59.999,4.62900000,4.78800000,4.60400000,4.75700000,921880.65500000
2020-02-10 23:59:59.999,4.75700000,4.81000000,4.43300000,4.77300000,1401458.98700000
2020-02-11 23:59:59.999,4.77300000,5.21600000,4.69300000,5.10500000,2090562.97100000
2020-02-12 23:59:59.999,5.10800000,5.32700000,5.02200000,5.10900000,2136199.29700000
2020-02-13 23:59:59.999,5.10000000,5.24400000,4.82800000,4.90600000,1966479.65800000
2020-02-14 23:59:59.999,4.91200000,5.14100000,4.85600000,5.11100000,834755.36600000
2020-02-15 23:59:59.999,5.11900000,5.13600000,4.40000000,4.60800000,1444434.84000000
2020-02-16 23:59:59.999,4.60800000,4.75800000,3.95500000,4.38200000,1491309.08600000
2020-02-17 23:59:59.999,4.38200000,4.42600000,3.89000000,4.27000000,2273235.57500000
